author,url_identifier,type,subject,campus,date_issued,language,title,department,peerreviewed
University of Michigan. Office of Academic Human Resources.,https://hdl.handle.net/2027.42/168581,Archival Material,,,2021,,Research track casebooks,University Human Resources (University of Michigan) records and publications,
University of Michigan. Office of Academic Human Resources.,https://hdl.handle.net/2027.42/168611,Archival Material,,,2021,,Supporting documents,University Human Resources (University of Michigan) records and publications,
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168869,Archival Material,,,2021,,Astronomy,"College of Literature, Science and the Arts records and publications",
"Fishback, Ian",https://hdl.handle.net/2027.42/167936,Thesis,Humanities,,2021,en_US,Method and the Morality of War,Dissertations and Theses (Ph.D. and Master's),
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168801,Archival Material,,,2021,,Communication Studies,"College of Literature, Science and the Arts records and publications",
University of Michigan. Department of Family Medicine.,https://hdl.handle.net/2027.42/167283,Archival Material,,,2021,,Disc 2 of 2,Department of Family Medicine (University of Michigan) records,
"Lambrecht, Nathalie",https://hdl.handle.net/2027.42/167991,Thesis,Health Sciences,,2021,en_US,Understanding the Role of Livestock Ownership on Anemia among Young Children in Ghana,Dissertations and Theses (Ph.D. and Master's),
"Kemper, Joseph",https://hdl.handle.net/2027.42/167967,Thesis,Arts,,2021,en_US,"Three Portraits of Choral Repertoire: Evolutions of Choral Music, Frank Martin Mass for Double Choir, and Ted Hearne Sound from the Bench",Dissertations and Theses (Ph.D. and Master's),
University of Michigan. Office of Academic Human Resources.,https://hdl.handle.net/2027.42/168639,Archival Material,,,2021,,"College of Education, Health, and Human Services (CEHHS) instructional casebooks",University Human Resources (University of Michigan) records and publications,
University of Michigan. Office of Multi-Ethnic Student Affairs.,https://hdl.handle.net/2027.42/168960,Archival Material,,,2021,,"Hispanic Heritage Month and Latino Heritage Month, circa 2011-2013",Office of Multi-Ethnic Student Affairs (University of Michigan) records,
University of Michigan. Office of Multi-Ethnic Student Affairs.,https://hdl.handle.net/2027.42/169118,Archival Material,,,2021,,"Vietnam Student Association, 2011",Office of Multi-Ethnic Student Affairs (University of Michigan) records,
University of Michigan. Center for the History of Medicine.,https://hdl.handle.net/2027.42/167317,Archival Material,,,2021,,Disc 3 of 3,Center for the History of Medicine (University of Michigan) Oral History Interviews,
"Pi, Yibo",https://hdl.handle.net/2027.42/168012,Thesis,Engineering,,2021,en_US,Evaluating and Improving Internet Load Balancing with Large-Scale Latency Measurements,Dissertations and Theses (Ph.D. and Master's),
